;race_id;horse_place;horse_number;horse_name;horse_sex;horse_age;horse_jockey_driver;horse_time;horse_time_per_km;distance_to_first_horse;horse_won;race_distance;ground_conditions;race_type;type_of_track;rail
4628;202303_706;1;6;SPORT COUPE;H;5;Foresi F.;0.0;0.0;;1;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4629;202303_706;2;4;MONI;H;7;Crastus A.;0.0;0.0;CTE TETE;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4630;202303_706;3;9;ASPEN;H;4;Roussel Léo;0.0;0.0;1 L 1/2;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4631;202303_706;4;3;EDITED;H;6;Mlle Lena Antoniotti;0.0;0.0;3/4 L;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4632;202303_706;5;10;RIMBAULT;H;4;Pacaut Mlle C.;0.0;0.0;1 L 1/2;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4633;202303_706;6;7;O'MONERIE;F;4;Lemaitre A.;0.0;0.0;1 L;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4634;202303_706;7;2;ALROMY;F;4;Velon Mlle M.;0.0;0.0;NEZ;0;2000;Terrain_Bon;Plat;Herbe;Corde à gauche
4635;202303_707;1;10;JEEDAYA DU VIVIER;F;4;Ernault S.;218.97;76.8;;1;2850;Terrain_Bon;Attelé;Sable;Corde à gauche
4636;202303_707;2;3;JOKER DE LA CRIERE;M;4;Ricart J. Y.;219.84;77.1;;0;2850;Terrain_Bon;Attelé;Sable;Corde à gauche
4637;202303_707;3;8;JASMINE DU ROY;F;4;Congard R.;222.78;78.2;;0;2850;Terrain_Bon;Attelé;Sable;Corde à gauche
4638;202303_707;4;7;JEFFERSON TERRIE;H;4;Raffin E.;222.94;78.2;;0;2850;Terrain_Bon;Attelé;Sable;Corde à gauche
4639;202303_707;5;9;JEWEL OF SEBHA;H;4;Giot J. L.;223.11;78.3;;0;2850;Terrain_Bon;Attelé;Sable;Corde à gauche
4640;202303_708;1;2;FORT JOLIE;F;8;Zuliani A.;0.0;0.0;;1;Country;Terrain_Bon;Cross;Herbe;Corde à droite
4641;202303_708;2;3;GOLDCHOP;H;8;Dumouch Th.;0.0;0.0;3 L;0;Country;Terrain_Bon;Cross;Herbe;Corde à droite
4642;202303_708;3;1;ECRINROSE;H;9;Julliot R.;0.0;0.0;6 L 1/2;0;Country;Terrain_Bon;Cross;Herbe;Corde à droite
4643;202303_708;4;4;BARPOWER;H;7;Blot P.;0.0;0.0;ENCOLURE;0;Country;Terrain_Bon;Cross;Herbe;Corde à droite
4644;202303_708;5;6;GWINZEGAL;F;7;Lebrun J. S.;0.0;0.0;4 L 1/2;0;Country;Terrain_Bon;Cross;Herbe;Corde à droite
4645;202303_709;1;2;KENZAL;H;5;Foresi F.;0.0;0.0;;1;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4646;202303_709;2;3;MAKE GOLD;F;5;Trullier T.;0.0;0.0;NEZ;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4647;202303_709;3;10;SIMARUBA;F;5;Boisseau L.;0.0;0.0;ENCOLURE;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4648;202303_709;4;13;KARRY BRADSHAW;F;7;Madamet A.;0.0;0.0;2 L 1/2;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4649;202303_709;5;9;SAGUARO;H;7;Piccone T.;0.0;0.0;1 L 3/4;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4650;202303_709;6;5;ULTIME NONANTAISE;F;4;Bouvier Mme Cél.;0.0;0.0;TETE;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4651;202303_709;7;4;GARDOL MOON;F;4;Planque S.;0.0;0.0;1/2 L;0;1800;Terrain_Standard;Plat;Sable fibré;Corde à droite
4652;202303_710;1;16;IMPERIAL MABON;H;5;Raffin E.;196.9;72.9;;1;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4653;202303_710;2;8;ISYBOY DE CINGLAIS;H;5;Monthule Hug.;197.03;73.0;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4654;202303_710;3;13;ICARE DES VALOIS;M;5;Levesque Th.;197.13;73.0;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4655;202303_710;4;15;IBIZA BELLA;F;5;Wiels A.;197.22;73.0;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4656;202303_710;5;4;IBISCUS MAN;H;5;Larue R. Ch.;197.27;73.1;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4657;202303_710;6;10;ILE AUX MOINES;F;5;Rochard B.;197.41;73.1;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4658;202303_710;7;6;IMOKO JIBELAU;H;5;Gourgand C.;197.84;73.3;;0;2700;Terrain_Bon;Attelé;Machefer;Corde à gauche
4659;202303_711;1;3;WABAL;H;3;Gutierrez Val A.;0.0;0.0;;1;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4660;202303_711;2;8;PIANINO;H;3;Veron F.;0.0;0.0;2 L 1/2;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4661;202303_711;3;9;WELCH FUSILIER;H;3;Barille Y.;0.0;0.0;1/2 L;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4662;202303_711;4;10;FAMOSO;M;3;Crastus A.;0.0;0.0;1 L;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4663;202303_711;5;2;HIGHLAND ARCHER;M;3;Mangione R.;0.0;0.0;1/4 L;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4664;202303_711;6;6;BOLT OF THUNDER;H;3;Eon Mlle M.;0.0;0.0;CTE TETE;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4665;202303_711;7;5;ARTAIOS;H;3;Werle A.;0.0;0.0;ENCOLURE;0;1600;Terrain_TrèsSouple;Plat;Herbe;Corde à droite
4666;202303_712;1;4;HOUKO SPORT;H;6;Lebourgeois Y.;212.11;73.8;;1;2875;Terrain_Bon;Monté;Sable;Corde à gauche
4667;202303_712;2;7;ICARE DE TROIS;H;5;Mottier M.;212.97;74.1;;0;2875;Terrain_Bon;Monté;Sable;Corde à gauche
4668;202303_712;3;6;IDEAL DU NOYER;H;5;Martin G.;215.36;74.9;;0;2875;Terrain_Bon;Monté;Sable;Corde à gauche
4669;202303_712;4;1;IKITORI;H;5;Roussel And.;215.83;75.1;;0;2875;Terrain_Bon;Monté;Sable;Corde à gauche
4670;202303_712;5;5;ISSAMBRES FIX;H;5;Desmigneux F.;216.1;75.2;;0;2875;Terrain_Bon;Monté;Sable;Corde à gauche
