;race_id;horse_place;horse_number;horse_name;horse_sex;horse_age;horse_jockey_driver;horse_time;horse_time_per_km;distance_to_first_horse;horse_won;race_distance;ground_conditions;race_type;type_of_track;rail
0;202303_1;1;4;JAMIN D'ORGERES;H;4;Lefevre N. G.;161.2;75.0;;1;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
1;202303_1;2;7;JERONIMO;H;4;Julien N.;161.7;75.2;;0;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
2;202303_1;3;5;JOSE DU CHERISAY;M;4;Mourice R.;162.04;75.4;;0;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
3;202303_1;4;1;JAMBA D'OURVILLE;F;4;Guelpa J.;162.75;75.7;;0;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
4;202303_1;5;6;JASMIN DE LARRE;H;4;Mortagne N.;163.4;76.0;;0;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
5;202303_1;6;9;JANGO ATOUT;M;4;Pacha N.;164.34;76.4;;0;2150;Terrain_Bon;Attelé;Sable;Corde à gauche
6;202303_2;1;4;PRINCE ANJOU;H;6;Jouin O.;0.0;0.0;;1;3700;Terrain_TrèsSouple;Steeplechase;Herbe;Corde à gauche
7;202303_2;2;2;LE PLOUGASTELLEN;H;6;De Giles F.;0.0;0.0;1 L 1/4;0;3700;Terrain_TrèsSouple;Steeplechase;Herbe;Corde à gauche
8;202303_2;3;6;IRISH BAR;H;5;Charron J.;0.0;0.0;7 L 1/2;0;3700;Terrain_TrèsSouple;Steeplechase;Herbe;Corde à gauche
9;202303_2;4;5;LE HURON;H;7;Lestrade B.;0.0;0.0;12 L;0;3700;Terrain_TrèsSouple;Steeplechase;Herbe;Corde à gauche
10;202303_2;5;1;CELESTIN MERCURY;H;6;Marchand Bas.;0.0;0.0;7 L;0;3700;Terrain_TrèsSouple;Steeplechase;Herbe;Corde à gauche
11;202303_3;1;8;MARIE COASTALA;F;5;Zuliani A.;0.0;0.0;;1;3600;Terrain_Collant;Haies;Herbe;Corde à gauche
12;202303_3;2;1;FLASH DAVIER;F;5;Lestrade B.;0.0;0.0;12 L;0;3600;Terrain_Collant;Haies;Herbe;Corde à gauche
13;202303_3;3;4;IDYLLE D'AINAY;F;5;Re G.;0.0;0.0;4 L;0;3600;Terrain_Collant;Haies;Herbe;Corde à gauche
